目标	变量1	变量2	变量3	变量4	变量5	变量6	变量7	变量8	变量9	变量10	变量11
1.81495132	74.8625	1.8475	1.44	5	6	6.8568896	6.559047381	46.47409722	0.138752083	5.472222222	0.590334922
1.86993272	103.8	1.6275	1.3675	4	6	6.40479795	5.9142175	668.5833333	0.153888889	5.472222222	0.747498163
1.88008312	115.35	1.965	1.5275	5.25	6	7.138044	6.28901075	371.3566667	0.329140972	1.243055556	1.649840601
1.9606134	95.6625	2.1325	1.7975	5.75	8.5	7.2685821	7.17632375	904.1807639	0.181291667	3.243055556	1.604062323
1.988636	107.775	2.05	1.29	5.5	3.5	7.2826725	5.74288094	580.8963889	0.371588889	0.972222222	1.478286289
1.99490592	84.3375	1.7975	2.06	5.5	11	7.02547435	8.10117325	377.8257639	0.110974306	3.25	0.864637217
2.0071782	92.7375	1.785	2.22	5	11	7.00082	8.4759665	727.5024306	0.121230556	4.5	0.6084846
2.02429392	90.4625	2.11	1.8375	5.25	8.5	7.538395	7.47997044	513.9990972	0.204957639	1.6875	0.903123002
2.03803852	87.35	1.9225	1.3875	4.5	6	7.0688296	6.192241175	963.305	0.200580556	4.5	1.182468214
2.0511538	117.525	2.275	1.25	5.75	3.5	7.7194015	5.43923425	143.1675	0.278563889	0.243055556	0.814967214
2.06723692	105.975	1.965	1.7975	5.25	8.5	7.138044	7.17632375	457.4741667	0.246790972	1.1875	1.688627048
2.06954512	84.35	1.985	1.8375	4.5	8.5	6.9248992	7.47997044	648.7272222	0.10926875	4.25	0.850895686
2.107209	99.4	2.32	1.1175	6.5	3.5	7.7381475	5.304928175	993.3433333	0.190052083	0.75	1.953027469
2.1427876	100.85	2.105	1.52	6.25	6	7.6595325	6.367431135	788.9922222	0.268763889	1.1875	1.872887612
2.1538214	93.775	2.05	1.8375	5.5	8.5	7.2826725	7.47997044	351.8563889	0.221657639	0.75	1.250190103
2.1721726	88.1	2.27	1.8375	6.5	8.5	7.5452475	7.47997044	565.1022222	0.179007639	0.972222222	0.632026547
2.20853992	95.225	1.69	2.0675	5	11	6.5945825	8.06363675	323.1963889	0.150385417	4.5	1.579250747
2.20980592	87.7375	1.855	2.0675	5.5	11	7.3338975	8.06363675	653.8857639	0.043357639	3.25	0.409660152
2.23045192	97.975	2.105	1.7975	6.25	8.5	7.6595325	7.17632375	745.1963889	0.243724306	1.243055556	1.927690406
2.2313834	104.35	1.765	1.7975	4.75	8.5	6.87098	7.17632375	468.4255556	0.200185417	3.076388889	1.575998489
2.24476372	97	1.76	1.4075	4.5	6	6.880555	6.21786419	477.2466667	0.19351875	4.5	1.063509123
2.24508572	100.275	2.32	1.52	6.5	6	7.7381475	6.40831502	556.7630556	0.364388889	0.972222222	1.899475515
2.24826232	89.1875	1.8575	1.3875	4.5	6	6.8226821	6.23312506	280.3885417	0.242655556	4.25	1.213879266
2.25757092	105.9	2.05	1.72	5.5	6	7.2826725	7.00498719	460.4588889	0.389722222	0.972222222	1.237888435
2.26165672	
